id,generation,status,bottom_band,diagonal_band,seat_band,front_seat_band,lower_tunnel_collar_mm,upper_tunnel_collar_mm,volume_ratio,movement_indicator_mm,raw_2d_peak_MPa,inner_seat_ratio,score
c4457d7fe8f5,3,PASS_REDUCED_CONTACT,1.75,1.95,4.9,2.0,3.5,2.7,1.0125477897587356,4.2441869105212655,13.205305451834544,1.0314331938649774,1.0592443165642826
b8aafcef1756,3,PASS_REDUCED_CONTACT,1.75,1.95,4.95,2.0,3.5,2.5,1.0120417667031685,4.239833613214349,136.2179487179487,1.0038363555812917,173.8647953037925
a8bea2c2206d,3,PASS_REDUCED_CONTACT,1.6,1.95,5.0,1.9,3.8,2.3,1.0090596891240007,4.276555505068629,13.226173796133324,1.000012394887694,1.0664218999690904
a6c3c63c0e92,3,PASS_REDUCED_CONTACT,1.6,1.65,5.0,2.0,3.5,2.35,0.9977692947551632,4.350732747904388,32.05353026007425,1.0000336252805395,5.137731360028089
f9ad9cdbc331,3,PASS_REDUCED_CONTACT,1.9,1.85,5.5,2.0,3.5,2.5,1.0282023484376697,4.143127212280997,13.227619705499235,1.0148274821463916,1.0440061060627701
2eedef759491,3,PASS_REDUCED_CONTACT,1.6,1.9,5.0,1.65,3.5,2.5,1.000807168445075,4.294994469782105,13.209859677933585,1.0002714994541786,1.066073618770501
eea79d51d592,3,PASS_REDUCED_CONTACT,1.75,1.7,5.5,2.2,3.5,2.5,1.0159572758261632,4.259131591562071,44.903920308507765,1.0205112513874093,12.52829007143434
eb9992889ce6,3,PASS_REDUCED_CONTACT,1.5,2.1,5.0,2.1,3.5,2.75,1.0075703087264494,4.30840340070136,13.200350339495175,1.0037399494193708,1.078932776342891
4cd61ffc360c,3,PASS_REDUCED_CONTACT,1.6,1.95,5.25,2.35,3.5,2.5,1.0140328194976824,4.261982854895493,13.205599242680982,1.0788955641302649,1.0779581017709425
c0d5405eaafc,3,PASS_REDUCED_CONTACT,1.65,1.95,5.0,2.2,3.5,2.75,1.0115070981499483,4.271987806374239,60.638897420039996,0.99814067050277,26.74444363886315
b92a481e931d,3,PASS_REDUCED_CONTACT,1.75,1.7,5.5,2.15,4.05,2.5,1.0257048179119148,4.247859532689426,57.345476032037,1.0205005155295943,23.3063809262956
9430f22b1979,3,PASS_REDUCED_CONTACT,1.75,1.8,5.0,2.05,3.45,2.35,1.0056062905002794,4.290369110942573,17.806267806267805,0.9955813616199963,1.3080058779201278
b05ff9fa4c17,3,PASS_REDUCED_CONTACT,1.5,1.8,4.75,2.0,3.5,2.5,0.9934169669367157,4.394021653676106,13.230398423575945,1.0135730584365774,1.110225220441601
764e92a0cfeb,3,PASS_REDUCED_CONTACT,1.65,2.1,4.75,2.05,3.8,2.25,1.0101908337597856,4.270656781757402,13.227276282531905,1.006738892333304,1.0652229792330008
